amortization_type,noise_level,accuracy_clean,accuracy_noisy,accuracy_denoised,mse_noisy,mse_denoised
Gaussian,0.1,0.9795373665480427,0.9795373665480427,0.9795373665480427,0.009936909191310406,0.009835510514676571
Gaussian,0.3666666666666667,0.9795373665480427,0.9537366548042705,0.947508896797153,0.13359621167182922,0.11665330827236176
Gaussian,0.6333333333333333,0.9795373665480427,0.895017793594306,0.8754448398576512,0.3985804617404938,0.27778714895248413
Gaussian,0.9,0.9795373665480427,0.8122775800711743,0.7428825622775801,0.8048896193504333,0.42874428629875183
Gaussian,1.1666666666666667,0.9795373665480427,0.7259786476868327,0.5693950177935944,1.3525235652923584,0.5471271872520447
Gaussian,1.4333333333333333,0.9795373665480427,0.6352313167259787,0.42526690391459077,2.041482925415039,0.634187638759613
Gaussian,1.7000000000000002,0.9795373665480427,0.5685053380782918,0.30604982206405695,2.8717665672302246,0.6972813606262207
Gaussian,1.9666666666666668,0.9795373665480427,0.501779359430605,0.2313167259786477,3.8433754444122314,0.7433112263679504
Gaussian,2.2333333333333334,0.9795373665480427,0.451067615658363,0.19217081850533807,4.956308841705322,0.7774045467376709
Gaussian,2.5,0.9795373665480427,0.4030249110320285,0.15747330960854092,6.210567474365234,0.803111732006073
mean,0.1,0.9795373665480427,0.9795373665480427,0.9795373665480427,0.009936909191310406,0.009835895150899887
mean,0.3666666666666667,0.9795373665480427,0.9537366548042705,0.9466192170818505,0.13359621167182922,0.11668306589126587
mean,0.6333333333333333,0.9795373665480427,0.895017793594306,0.8754448398576512,0.3985804617404938,0.27792975306510925
mean,0.9,0.9795373665480427,0.8122775800711743,0.7428825622775801,0.8048896193504333,0.4290544092655182
mean,1.1666666666666667,0.9795373665480427,0.7259786476868327,0.5702846975088968,1.3525235652923584,0.5476050972938538
mean,1.4333333333333333,0.9795373665480427,0.6352313167259787,0.42170818505338076,2.041482925415039,0.6348074078559875
mean,1.7000000000000002,0.9795373665480427,0.5685053380782918,0.304270462633452,2.8717665672302246,0.6980130076408386
mean,1.9666666666666668,0.9795373665480427,0.501779359430605,0.22864768683274023,3.8433754444122314,0.7441285848617554
mean,2.2333333333333334,0.9795373665480427,0.451067615658363,0.18416370106761565,4.956308841705322,0.7782871127128601
mean,2.5,0.9795373665480427,0.4030249110320285,0.15302491103202848,6.210567474365234,0.8040441274642944
covariance,0.1,0.9795373665480427,0.9795373665480427,0.9795373665480427,0.009936909191310406,0.008729632012546062
covariance,0.3666666666666667,0.9795373665480427,0.9537366548042705,0.9519572953736655,0.13359621167182922,0.10669559240341187
covariance,0.6333333333333333,0.9795373665480427,0.895017793594306,0.8790035587188612,0.3985804617404938,0.2609902322292328
covariance,0.9,0.9795373665480427,0.8122775800711743,0.7161921708185054,0.8048896193504333,0.40716585516929626
covariance,1.1666666666666667,0.9795373665480427,0.7259786476868327,0.4697508896797153,1.3525235652923584,0.5215774774551392
covariance,1.4333333333333333,0.9795373665480427,0.6352313167259787,0.3122775800711744,2.041482925415039,0.6057260632514954
covariance,1.7000000000000002,0.9795373665480427,0.5685053380782918,0.2313167259786477,2.8717665672302246,0.6670410633087158
covariance,1.9666666666666668,0.9795373665480427,0.501779359430605,0.17526690391459074,3.8433754444122314,0.7122780084609985
covariance,2.2333333333333334,0.9795373665480427,0.451067615658363,0.14590747330960854,4.956308841705322,0.7462933659553528
covariance,2.5,0.9795373665480427,0.4030249110320285,0.12544483985765126,6.210567474365234,0.7724096775054932
both,0.1,0.9795373665480427,0.9795373665480427,0.9786476868327402,0.009936909191310406,0.008799485862255096
both,0.3666666666666667,0.9795373665480427,0.9537366548042705,0.9519572953736655,0.13359621167182922,0.10895535349845886
both,0.6333333333333333,0.9795373665480427,0.895017793594306,0.8790035587188612,0.3985804617404938,0.2669539749622345
both,0.9,0.9795373665480427,0.8122775800711743,0.6779359430604982,0.8048896193504333,0.4142470359802246
both,1.1666666666666667,0.9795373665480427,0.7259786476868327,0.4679715302491103,1.3525235652923584,0.5279001593589783
both,1.4333333333333333,0.9795373665480427,0.6352313167259787,0.3069395017793594,2.041482925415039,0.6108647584915161
both,1.7000000000000002,0.9795373665480427,0.5685053380782918,0.23754448398576514,2.8717665672302246,0.6713940501213074
both,1.9666666666666668,0.9795373665480427,0.501779359430605,0.19395017793594305,3.8433754444122314,0.7163432836532593
both,2.2333333333333334,0.9795373665480427,0.451067615658363,0.17259786476868327,4.956308841705322,0.7506577372550964
both,2.5,0.9795373665480427,0.4030249110320285,0.15747330960854092,6.210567474365234,0.7776169180870056
