s,mean,Minimax,AEB-both,AEB-mean,AEB-variance,Cauchy,Laplace,NPMLE,James-Stein,MoM,MLE
0.01,0,0.09210340371976183,0.018,0.018,0.017,0.016,0.016,0.017,0.018,0.343,1.009
0.01,3,0.09210340371976183,0.05,0.082,0.047,0.06,0.06,0.051,0.104,0.343,1.002
0.01,4,0.09210340371976183,0.036,0.099,0.031,0.044,0.036,0.03,0.149,0.323,0.972
0.01,5,0.09210340371976183,0.035,0.14,0.031,0.033,0.032,0.029,0.21,0.324,0.957
0.01,7,0.09210340371976183,0.02,0.156,0.018,0.019,0.019,0.012,0.334,0.346,0.995
0.05,0,0.2995732273553991,0.085,0.083,0.068,0.078,0.074,0.068,0.086,0.356,0.996
0.05,3,0.2995732273553991,0.136,0.217,0.135,0.194,0.171,0.125,0.342,0.39,0.991
0.05,4,0.2995732273553991,0.109,0.219,0.109,0.136,0.123,0.098,0.46,0.387,0.986
0.05,5,0.2995732273553991,0.108,0.302,0.107,0.132,0.129,0.1,0.559,0.417,1.007
0.05,7,0.2995732273553991,0.067,0.305,0.067,0.083,0.078,0.052,0.702,0.43,1.002
0.1,0,0.4605170185988092,0.12,0.144,0.118,0.141,0.128,0.117,0.153,0.392,1.019
0.1,3,0.4605170185988092,0.234,0.327,0.236,0.308,0.27,0.219,0.491,0.47,1.001
0.1,4,0.4605170185988092,0.214,0.368,0.213,0.281,0.266,0.2,0.644,0.533,1.025
0.1,5,0.4605170185988092,0.189,0.339,0.185,0.221,0.212,0.166,0.687,0.545,0.968
0.1,7,0.4605170185988092,0.126,0.435,0.125,0.157,0.146,0.106,0.821,0.666,0.978
0.2,0,0.6437751649736402,0.236,0.279,0.236,0.29,0.27,0.24,0.303,0.458,1.03
0.2,3,0.6437751649736402,0.41,0.459,0.413,0.548,0.486,0.376,0.664,0.699,1.014
0.2,4,0.6437751649736402,0.35,0.438,0.35,0.407,0.392,0.313,0.725,0.797,0.982
0.2,5,0.6437751649736402,0.309,0.466,0.305,0.354,0.331,0.262,0.8,0.933,0.971
0.2,7,0.6437751649736402,0.23,0.552,0.233,0.304,0.266,0.168,0.878,1.137,0.996
0.5,0,Not Applicable,0.437,0.479,0.437,0.625,0.473,0.439,0.493,0.571,0.999
0.5,3,Not Applicable,0.637,0.684,0.691,0.794,0.77,0.595,0.752,1.168,0.992
0.5,4,Not Applicable,0.709,0.747,0.691,0.874,0.836,0.585,0.861,1.372,1.04
0.5,5,Not Applicable,0.65,0.724,0.649,0.859,0.794,0.512,0.89,1.393,1.034
0.5,7,Not Applicable,0.541,0.746,0.542,0.739,0.646,0.385,0.913,1.256,0.991
1.0,0,Not Applicable,0.669,0.677,0.668,0.953,0.673,0.669,0.685,0.799,1.013
1.0,3,Not Applicable,0.672,0.895,0.672,1.333,1.04,0.676,0.682,0.84,1.014
1.0,4,Not Applicable,0.664,0.936,0.665,1.385,1.056,0.681,0.667,0.839,1.02
1.0,5,Not Applicable,0.665,0.888,0.652,1.292,1.01,0.653,0.663,0.797,0.98
1.0,7,Not Applicable,0.671,0.877,0.656,1.16,0.994,0.661,0.669,0.798,0.974
